ig_handle,PullStatus,NumberOfPosts
fallontonight,Completed,52
agt,Completed,85
nbcsongland,Completed,4
ninjawarrior,Completed,72
nbcbluffcitylaw,Completed,2
nbcbringthefunny,Completed,11
nbccouncilofdads,Completed,0
nbcindebted,Completed,0
nbclincoln,Completed,0
nbcperfectharmony,Completed,0
nbcsongland,Completed,4
nbcsunnyside,Completed,1
nbctheinbetween,Completed,0
nbckenanshow,Completed,0
zoeysplaylist,Completed,0
nbcsnl,Completed,9
nbcbrooklyn99,Completed,4
nbcworldofdance,Completed,30
nbcthisisus,Completed,26
nbcthegoodplace,Completed,12
nbcsvu,Completed,1
latenightseth,Completed,35
nbcsuperstore,Completed,2
