,num_of_followers,num_of_following,total_posts
fallontonight,6295120,1812,2172
agt,1357045,762,5072
nbcsongland,48953,91,87
ninjawarrior,352647,217,2239
nbcbluffcitylaw,1455,46,5
nbcbringthefunny,17009,117,74
nbccouncilofdads,692,47,2
nbcindebted,899,44,2
nbclincoln,700,76,2
nbcperfectharmony,2309,68,5
nbcsongland,48953,91,87
nbcsunnyside,1574,47,4
nbctheinbetween,5065,58,79
nbckenanshow,770,79,2
zoeysplaylist,940,86,3
nbcsnl,3152447,288,5431
nbcbrooklyn99,1489232,26,1518
nbcworldofdance,1524755,323,639
nbcthisisus,1347755,72,837
nbcthegoodplace,509571,18,662
nbcsvu,408361,89,1015
latenightseth,556740,536,4893
nbcsuperstore,95531,99,726
