,ig_handle,igtv_code,title,url,video_length,views,comment_count,likes,caption,upload_date
0,fallontonight,B1CVdPYAHFZ,Jimmy & @postmalone sing Irish folk song “Seven Drunken Nights”,https://www.instagram.com/tv/B1CVdPYAHFZ/,2:32,322209,778,53k,,2019-08-11
1,fallontonight,B07h0uZAeDv,Ron Burgundy (Will Ferrell) has beef with Shawn Mendes,https://www.instagram.com/tv/B07h0uZAeDv/,6:21,784951,1054,91k,,2019-08-09
2,fallontonight,B06EsQWANWw,Jimmy and @queereye’s Fab Five ride The BEAST,https://www.instagram.com/tv/B06EsQWANWw/,2:42,749596,1673,81.2k,"Jimmy takes @queereye’s Fab Five on The BEAST, a jet-powered speed boat ride that’s like a rollercoaster on the Hudson River",2019-08-08
3,fallontonight,B02Pb8-gNXY,Jimmy & @postmalone go head-to-head in Beer Pong,https://www.instagram.com/tv/B02Pb8-gNXY/,1:52,1433066,2351,171.7k,,2019-08-07
4,fallontonight,B0zn7TMAxpn,Cue Card Cold Read w/ @juliannemoore,https://www.instagram.com/tv/B0zn7TMAxpn/,2:49,539986,640,55.1k,Jimmy and @juliannemoore revisit an improv-style commercial they starred in back in the &#x27;90s during their little-known law careers.,2019-08-06
5,fallontonight,B0zEwGqActm,Jimmy addresses the El Paso and Dayton tragedies,https://www.instagram.com/tv/B0zEwGqActm/,1:06,1071654,2748,161.3k,,2019-08-05
6,fallontonight,B0lc_DhA8Mj,We Test How Well @QueerEye’s Fab Five Know Each Other,https://www.instagram.com/tv/B0lc_DhA8Mj/,7:03,1573252,1713,96.9k,"@QueerEye’s Fab Five reveal how they know when @jvn is cranky, the dumbest thing @tanfrance has done and the hardest @antoni has laughed",2019-07-31
7,fallontonight,B0eOQACgKC5,#SummerSongs with @camila_cabello,https://www.instagram.com/tv/B0eOQACgKC5/,6:00,1864203,1127,155.2k,#Summertime #TB to @camila_cabello and @theroots helping Jimmy sing his favorite #SummerSongs tweets,2019-07-28
8,fallontonight,B0Yl2juAup0,Summer Science with Resident Science Expert Kevin Delaney,https://www.instagram.com/tv/B0Yl2juAup0/,6:17,886823,238,57.3k,Kevin Delaney shows Jimmy how to roast a marshmallow with a firework &amp; more!,2019-07-26
9,fallontonight,B0Pr-kcgNd8,Wheel of Opinions with @davidspade,https://www.instagram.com/tv/B0Pr-kcgNd8/,2:59,1136638,794,97.5k,Jimmy challenges @davidspade to give opinions on the spot about randomly generated topics,2019-07-23
10,fallontonight,B0GkOfBAc_U,Mad Lib Theater With @Kenanthompson And @Joemanganiello,https://www.instagram.com/tv/B0GkOfBAc_U/,2:43,507687,316,45.9k,"Jimmy, @kenanthompson and @joemanganiello perform a sportscasting scene they wrote together using Mad Lib words",2019-07-19
11,fallontonight,Bz_FmumAAl8,Jimmy and @stephenathome Perform the “NeverEnding Story” Duet,https://www.instagram.com/tv/Bz_FmumAAl8/,1:30,896598,1895,107.8k,Jimmy and @stephenathome recreate the @strangerthingstv “NeverEnding Story” duet,2019-07-16
12,fallontonight,Bz_FmumAAl8,,https://www.instagram.com/tv/Bz_FmumAAl8/,,896598,1895,107.8k,Jimmy and @stephenathome recreate the @strangerthingstv “NeverEnding Story” duet,2019-07-16
13,fallontonight,Bz6IP48gE26,@jackblack gives us a taste of the Sax-A-Boom,https://www.instagram.com/tv/Bz6IP48gE26/,1:01,2280499,4817,330.9k,Jack Black performs the legendary Sax-A-Boom toy instrument that he made famous by playing at the Tenacious D shows.,2019-07-14
14,fallontonight,BzoVW0DAfBt,@maroon5 Performs in an NYC Subway in Disguise,https://www.instagram.com/tv/BzoVW0DAfBt/,3:28,1085757,2455,134.9k,Jimmy and @maroon5 put on disguises and give a surprise performance of &quot;Crazy Little Thing Called Love&quot; and &quot;Sugar&quot; in a New York City subway station.,2019-07-07
15,fallontonight,BzeH_Zmg8_i,@postmalone took Jimmy to Olive Garden,https://www.instagram.com/tv/BzeH_Zmg8_i/,6:51,1675192,2460,143.1k,"Jimmy had never tried Olive Garden before, so @postmalone took him to experience his favorite restaurant the right way. #tb",2019-07-03
16,fallontonight,BzEDQISA4u6,"Jimmy Freaks Out Riding Puerto Rico's ""Monster"" Zip Line",https://www.instagram.com/tv/BzEDQISA4u6/,3:06,1009163,1593,81k,"Jimmy and @blackthought strap on GoPro cameras and take on El Monstruo, the world&#x27;s second-longest zip line in Puerto Rico.",2019-06-23
17,fallontonight,By4E3cxgR2z,@andybovine and Jimmy Are “Torn” About Each Other,https://www.instagram.com/tv/By4E3cxgR2z/,2:16,1338945,816,98.9k,"Adam Devine is torn that Jimmy hasn’t watched his Netflix special &quot;Best Time of Our Lives&quot; yet, but Jimmy is torn that Adam hasn&#x27;t seen “Fever Pitch”",2019-06-19
18,fallontonight,ByslBPwASRy,True Confessions with @chrishemsworth and @kumailn.,https://www.instagram.com/tv/ByslBPwASRy/,6:40,1610033,1079,128.6k,"Jimmy, @chrishemsworth and @kumailn interrogate each other in True Confessions.",2019-06-14
19,fallontonight,ByqGnAiAqkb,Know Your Bro with @jonasbrothers!,https://www.instagram.com/tv/ByqGnAiAqkb/,5:33,1985031,928,152.1k,@jonasbrothers reveal they had a few run-ins with the police at @joejonas’ bachelor party in Know Your Bro.,2019-06-13
20,fallontonight,ByStMsxgiUH,Robert Irwin and Jimmy Bottle Feed a Baby Miniature Horse,https://www.instagram.com/tv/ByStMsxgiUH/,4:12,1252657,1963,134.9k,@robertirwinphotography brings some animals to show Jimmy including a miniature horse and a mandrill monkey.,2019-06-04
21,fallontonight,Bxz39Fug4v2,@robertirwinphotography’s millipede is named after @milliebobbybrown.,https://www.instagram.com/tv/Bxz39Fug4v2/,2:10,1563535,562,112.8k,Millie Bobby Brown talks visiting Robert Irwin in Australia and the millipede named after her.,2019-05-23
22,fallontonight,BxwH7TOABBP,@KevinHart4Real’s Dance Floor Fail,https://www.instagram.com/tv/BxwH7TOABBP/,2:45,1235024,1975,144.7k,Kevin Hart explains why his shoes were to blame for a hilarious fall he took at a friend&#x27;s wedding!,2019-05-22
23,fallontonight,BxtWJ8Vg_gC,@JBalvin On How He Ended Up On-Stage With Beyoncé,https://www.instagram.com/tv/BxtWJ8Vg_gC/,3:02,1310345,927,89.7k,J Balvin on how he ended up on stage with Beyoncé at Coachella and why he&#x27;ll only sing in Spanish on his Arcoiris tour,2019-05-21
24,fallontonight,BxeEQQKg4ao,Maluma Explains the Origin of His Name and Relives The Met Gala,https://www.instagram.com/tv/BxeEQQKg4ao/,3:38,2642966,2996,166.9k,Maluma explains how he incorporated his family into his stage name and reveals what it was like to spend a night with Katy Perry at the Met Gala.,2019-05-15
25,fallontonight,BxTk-R7HbCM,Amirah Kassem Shows Jimmy How to Make a Sprinkle-Filled Explosion Cake,https://www.instagram.com/tv/BxTk-R7HbCM/,2:41,2336224,1309,121.8k,Flour Shop owner Amirah Kassem shows Jimmy and Questlove how to make the signature rainbow explosion cakes.,2019-05-11
26,fallontonight,BxRIzNVnplH,Compare Pokémon with The Roots’ Tarik Trotter,https://www.instagram.com/tv/BxRIzNVnplH/,2:28,869218,1716,81k,The Roots’ Tarik Trotter lists every Pokémon he’s caught,2019-05-10
27,fallontonight,BxOnzLBnctq,Rita Ora and Lizzo Spent the Met Gala Flirting with Waiters & Singing Cher,https://www.instagram.com/tv/BxOnzLBnctq/,2:35,1061892,265,70k,Rita Ora talks about her experience at the Met Gala with Lizzo as her date.,2019-05-09
28,fallontonight,BwvqWijHDPf,“Two Stings on the Moon”,https://www.instagram.com/tv/BwvqWijHDPf/,3:00,913252,1281,103.9k,"Sting and Jimmy are “Two Stings on the Moon” in a parody of the classic, “Walking on the Moon” by The Police.",2019-04-27
29,fallontonight,BwqkXKSnMAB,Beat Saber with Brie Larson,https://www.instagram.com/tv/BwqkXKSnMAB/,3:59,1688915,1707,134.9k,"Brie Larson and Jimmy play Beat Saber, a virtual reality game where players slash targets to the beat of the music!",2019-04-25
30,fallontonight,Bwn8ehtniTf,Alex Rodriguez and Jimmy Crash a Hip-Hop Dance Class,https://www.instagram.com/tv/Bwn8ehtniTf/,3:36,949940,1820,96.7k,Jimmy brings Alex Rodriguez to a dance studio in NYC where they crash a hip-hop class and learn a routine!,2019-04-24
31,fallontonight,Bwlb-O9neWF,Avengers: Endgame Cast Sings “We Didn’t Start the Fire”,https://www.instagram.com/tv/Bwlb-O9neWF/,1:56,1535464,6595,226k,It’s an Avengers mash-up of the past decade!,2019-04-23
32,fallontonight,BwduQiSHdgj,Pete Buttigieg is the Avocado Toast of Democrats,https://www.instagram.com/tv/BwduQiSHdgj/,2:40,38615,13,507,,2019-04-20
33,fallontonight,Bvrq3aeAYBX,Musical Beers with The Chainsmokers and 5 Seconds of Summer,https://www.instagram.com/tv/Bvrq3aeAYBX/,4:15,968275,469,62.4k,"The Chainsmokers, 5 Seconds of Summer, and Jimmy face off in a game of Musical Beers!",2019-03-31
34,fallontonight,BvhzEg1HM_z,Mark Ruffalo Gets Hooked Up to a Lie Detector,https://www.instagram.com/tv/BvhzEg1HM_z/,3:06,2000174,1320,122k,@MarkRuffalo must answer questions about @Avengers: Endgame while hooked up to a lie detector #FallonTonight,2019-03-27
35,fallontonight,BvS1FtxHI1x,Shaq Bracket: March Madness 2019,https://www.instagram.com/tv/BvS1FtxHI1x/,1:21,548305,380,30.3k,&quot;Shaq&quot; creates a very special bracket for March Madness.,2019-03-22
36,fallontonight,BvPMEEfgHiv,Hey World! with Aidy Bryant,https://www.instagram.com/tv/BvPMEEfgHiv/,2:01,944102,271,58.1k,Jimmy and Aidy Bryant shout their deepest confessions and insecurities to the whole world!,2019-03-20
37,fallontonight,BwduQiSHdgj,,https://www.instagram.com/tv/BwduQiSHdgj/,,38615,13,507,,2019-04-20
38,fallontonight,BuKrRpRANRA,"Sneak Peek: Behind-The-Scenes of #FallonTonight on Monday, 2/25",https://www.instagram.com/tv/BuKrRpRANRA/,0:53,173857,44,1947,"Tina Fey is appearing on “The Tonight Show” to promote her new comedy “Wine Country,” and for some reason she is upset with Jimmy. Jimmy, on the other hand, has no idea what she’s upset about. #NoFlipping",2019-02-22
39,fallontonight,BuF35i7AA7S,Bernie Sanders Announces His 2020 Presidential Run,https://www.instagram.com/tv/BuF35i7AA7S/,2:30,846940,1540,71.6k,Bernie Sanders announces that he is running for president again in 2020 with a special message.,2019-02-20
40,fallontonight,BtxZc0sHsfR,Adam Sandler Serenades Jimmy for The Tonight Show's Fifth Anniversary,https://www.instagram.com/tv/BtxZc0sHsfR/,1:57,350707,212,8320,"Adam Sandler sings &quot;My Jimmy Fallontine,&quot; a parody of &quot;My Funny Valentine&quot; he wrote in honor of The Tonight Show&#x27;s fifth anniversary.",2019-02-12
41,fallontonight,BsZy5qshBRr,"Peter and His Heckler - ""Escape (The Piña Colada Song)"" with Andy Samberg",https://www.instagram.com/tv/BsZy5qshBRr/,4:12,378648,373,9533,Peter (Jimmy) tries to sing &quot;Escape (The Piña Colada Song)&quot; but keeps getting interrupted by a heckler (Andy Samberg).,2019-01-09
42,fallontonight,BpvYyNnHZoW,Try Not to Laugh Challenge with Benedict Cumberbatch,https://www.instagram.com/tv/BpvYyNnHZoW/,3:50,1087000,931,37k,Benedict Cumberbatch and Jimmy go head-to-head taking turns watching funny Internet videos and trying not to laugh.,2018-11-04
43,fallontonight,BpSLCYBHSiV,Wheel of Musical Impressions with Melissa Villaseñor,https://www.instagram.com/tv/BpSLCYBHSiV/,5:48,438761,228,13k,Jimmy challenges Saturday Night Live&#x27;s Melissa Villaseñor to a game of random musical impressions like Gwen Stefani singing &quot;Three Blind Mice&quot; and Post Malone singing &quot;Itsy Bitsy Spider.&quot;,2018-10-23
44,fallontonight,Bosw0Xzh0Xg,"Jimmy, Shawn Mendes & The Roots ""Treat You Better"" (Classroom Instruments)",https://www.instagram.com/tv/Bosw0Xzh0Xg/,2:55,248550,357,9993,Shawn Mendes joins Jimmy and The Roots to perform his hit &quot;Treat You Better&quot; with classroom instruments.,2018-10-09
45,fallontonight,Boeu_UQnUPH,?????Post Malone Takes The Jump Scare Dare Challenge?????,https://www.instagram.com/tv/Boeu_UQnUPH/,2:19,173958,128,4032,Post Malone is challenged to keep his cool as he watches a few videos with jump scares hidden somewhere in them.,2018-10-03
46,fallontonight,BoNQxN2H2V7,Kevin Hart Is Terrified of Robert Irwin's Animals,https://www.instagram.com/tv/BoNQxN2H2V7/,14:38,258629,407,12.1k,"Kevin Hart struggles to keep his fear in check as Robert Irwin, 14-year-old son of Crocodile Hunter Steve Irwin, brings out some interesting animals to show him and Jimmy, including some kingsnakes, a tarantula and a falcon.",2018-09-26
47,fallontonight,Bn9Mbznn5lP,Jimmy Fallon and Kevin Hart Go Back to High School,https://www.instagram.com/tv/Bn9Mbznn5lP/,5:06,138076,113,4772,,2018-09-20
48,fallontonight,BmKljeCFKDC,Pup Quiz with Glenn Close and Finn Wolfhard,https://www.instagram.com/tv/BmKljeCFKDC/,7:22,59471,37,1790,Glenn Close and Finn Wolfhard go head-to-head in a trivia game where the winner of each round gets a puppy to snuggle.,2018-08-07
49,fallontonight,BmJPC6-l5Bq,"""Ew!"" with Britney Spears",https://www.instagram.com/tv/BmJPC6-l5Bq/,5:12,126640,83,2640,Jimmy Fallon shows a clip from &quot;Ew!&quot; in which Sara and her camp BFF Abby (Britney Spears) show each other Throwback Thursday Instagram photos and play Fashion Freeze.,2018-08-06
50,fallontonight,Boeu_UQnUPH,,https://www.instagram.com/tv/Boeu_UQnUPH/,,173958,128,4032,Post Malone is challenged to keep his cool as he watches a few videos with jump scares hidden somewhere in them.,2018-10-03
51,fallontonight,Bkl-fYXDxqF,"Jimmy, Backstreet Boys & The Roots Sing ""I Want It That Way""",https://www.instagram.com/tv/Bkl-fYXDxqF/,2:44,247248,679,9609,"@BackstreetBoys join @JimmyFallon and The Roots to perform their hit &quot;I Want It That Way&quot; with classroom instruments. 
See the full instrument list below:

Brian Littrell - Vocals, Apple Shaker, Wood Block
Nick Carter - Vocals, Tambourine
Kevin Richardson - Vocals, Güiro
AJ McLean - Vocals, Maraca
Howie Dorough - Vocals, Coconuts 
Jimmy Fallon - Vocals, Bass Drum, Casio Keyboard, Apple Shaker
Questlove - Hand clappers 
Kamal Gray - Xylophone
James Poyser - Melodica
Captain Kirk - Ukulele
Tuba Gooding Jr. - Kazoo, Apple Shaker
Mark Kelley - Kazoo
Stro - Bongos
Black Thought - Triangle",2018-06-29
52,fallontonight,BklX98sD6La,Pete Davidson Confirms His Engagement To Ariana Grande,https://www.instagram.com/tv/BklX98sD6La/,8:07,103503,53,2600,SNL’s Pete Davidson talks about how weird it is how much people care about his engagement to Ariana Grande.,2018-06-28
53,fallontonight,BkThzo1j82q,Jimmy Fallon & NBA Draft Stars '90s Sitcom Theme,https://www.instagram.com/tv/BkThzo1j82q/,1:07,100679,47,1488,"@JimmyFallon and stars of the 2018 #NBADraft join forces for a TGIF-style opening credits, with an original theme song, &quot;Play-by-Play&quot; written and performed by Jesse Frederick (who sang the themes to &quot;Full House,&quot; &quot;Family Matters&quot; and &quot;Perfect Strangers&quot;). Full lyrics below:

Sometimes you wonder
“Am I ever going to get my break”
But you’re the real deal, you never fake it…
You know you’re going to make it!

Even when the game’s a ‘foul out’
If coach never seems to look your way
There’s no shame, you keep your head in the game…
Tomorrow everybody’s gonna’ know your name!

Play By Play
Nothing’s going to stand in your way
The shot at buzzer
No worries, no sweat
As long as you ‘believe’
It’s going nothing but net

Play By Play
Never looking back… to yesterday

Oh…
Moving off the sideline
Taking your shot
It’s a slam dunk you’re headed…
Straight to the top…",2018-06-21
54,fallontonight,BkQVfFUhEZa,Box of Lies with Chris Pratt,https://www.instagram.com/tv/BkQVfFUhEZa/,5:40,343679,192,10.4k,Chris Pratt and Jimmy Fallon take turns trying to stump each other about what items are hidden inside their mystery boxes. #FallonTonight #FallenKingdom #BoxOfLies,2018-06-20
55,agt,B0_RD72Bkll,#AGT live shows begin TUESDAY 8/7c on @NBC.,https://www.instagram.com/tv/B0_RD72Bkll/,2:08,51903,223,12406,Take a look at who’s performing night 1!,
56,agt,B09BgHLhOJt,Always remember the golden moments.,https://www.instagram.com/tv/B09BgHLhOJt/,1:30,111205,210,21886,Which #GoldenBuzzer was your favorite? ??,
