,num_of_followers,num_of_following,total_posts
fallontonight,6294965,1812,2172
agt,1357015,762,5072
nbcsongland,48953,91,87
ninjawarrior,352645,217,2239
nbcbluffcitylaw,1454,46,5
nbcbringthefunny,16993,117,74
nbccouncilofdads,691,47,2
nbcindebted,898,44,2
nbclincoln,698,76,2
nbcperfectharmony,2308,68,5
nbcsongland,48953,91,87
nbcsunnyside,1573,47,4
nbctheinbetween,5063,58,79
nbckenanshow,770,79,2
zoeysplaylist,939,86,3
nbcsnl,3152419,288,5431
nbcbrooklyn99,1489117,26,1518
nbcworldofdance,1524728,323,639
nbcthisisus,1347738,72,837
nbcthegoodplace,509547,18,662
nbcsvu,408344,89,1015
latenightseth,556725,536,4893
nbcsuperstore,95520,99,726
