,title,vid_length,approx_views,approx_comments,vid_url
0,This Week In Words,1:04,423k,558,https://www.instagram.com/tv/B7d-5tnApnh/
1,True Confessions w/ @officiallymcconaughey & Hugh Grant,6:06,1m,543,https://www.instagram.com/tv/B7co-VSAIIl/
2,Know Your Schitt’s Creek w/ The Cast of @schittscreek,6:08,1m,"1,790",https://www.instagram.com/tv/B7aExFNgxX1/
3,Cue Card Cold Read w/ @robertdowneyjr,4:37,1m,"1,193",https://www.instagram.com/tv/B7XifBfgTVh/
4,Can You Feel It? w/ @selenagomez,5:13,1m,"1,511",https://www.instagram.com/tv/B7SYUgYAdhW/
5,"Screengrabs: All She Wants to Do Is Dan, This Old Ho",3:44,614k,314,https://www.instagram.com/tv/B7O_EFQAD6b/
6,@willsmith & Jimmy Rap the History of Will Smith,2:38,1.2m,"3,800",https://www.instagram.com/tv/B7ID3k4AMnl/
7,What’s Behind Me? w/ @salmahayek,5:43,1.5m,"1,256",https://www.instagram.com/tv/B7C2D0CAKbh/
8,Random Instrument Challenge w/ @shaq,6:40,936k,"1,300",https://www.instagram.com/tv/B7AX5KoAZP_/
9,@justinbieber & @questlove Drum-Off,2:32,1.5m,"2,246",https://www.instagram.com/tv/B60q696Aj04/
10,First Drafts of Rock w/ @kevinbacon,3:31,528k,949,https://www.instagram.com/tv/B6tL3OegFNX/
11,@KarlieKloss critiques Jimmy’s fashion sense,2:43,1.1m,330,https://www.instagram.com/tv/B6lV5nyAnUy/
12,"""No Tears Left to Cry"" w/ @arianagrande & Nintendo Labo Instruments",2:55,1.5m,"1,700",https://www.instagram.com/tv/B6a94NCA-Ks/
13,Get the F@*! Out of My House Candle Commercial w/ @vancityreynolds,2:22,1.4m,"4,182",https://www.instagram.com/tv/B6YnoAJgaeb/
14,Sesame Street 50th Anniversary Rap w/ Jimmy & @blackthought,2:56,744k,"1,586",https://www.instagram.com/tv/B6SHyUxgjOq/
15,"Jimmy, The @catsmovie Cast & @theroots Remix ""Memory""",2:08,605k,"1,760",https://www.instagram.com/tv/B6PWqqLAARG/
16,Name That Song Challenge w/ @liampayne,5:20,1.3m,790,https://www.instagram.com/tv/B6M0222gbLp/
17,I’m Out of the Business w/ @leamichele & Jonathan Groff,4:37,879k,993,https://www.instagram.com/tv/B6KQIeHgTg8/
18,True Confessions w/ @vancityreynolds & @camila_cabello,7:04,1.6m,795,https://www.instagram.com/tv/B6BXEErgEJD/
19,@niallhoran Reads “Twas the Night Before Christmas” in 7 Different Accents!,1:49,1.6m,"5,378",https://www.instagram.com/tv/B5_-espgYMk/
20,Musical Genre Challenge w/ @charlieputh,4:22,1.1m,"1,276",https://www.instagram.com/tv/B56x66dAKwT/
21,Google Translate Songs w/ @camila_cabello,3:12,1.6m,"1,107",https://www.instagram.com/tv/B5uIIH2ABkI/
22,@alanis & Jimmy Busk in NYC Subway in Disguise,3:07,1m,"4,768",https://www.instagram.com/tv/B5rVjEVg__1/
23,Wheel of Opinions w/ @johnmulaney,3:36,1.4m,"1,600",https://www.instagram.com/tv/B5mOGw2g9yt/
24,Football Party Patrol w/ @lukebryan,2:47,416k,358,https://www.instagram.com/tv/B5jtkUFg8oD/
25,Hometown Bar w/ @jasonaldean,2:41,609k,855,https://www.instagram.com/tv/B5a1c9JA7Kz/
26,Daisy Ridley Raps a Recap of All Eight Star Wars Movies (Episodes I-VIII),2:30,1.3m,"4,235",https://www.instagram.com/tv/B5UKnrogFbk/
27,"""Star Wars"" Medley (A Cappella)",1:31,1m,"3,350",https://www.instagram.com/tv/B5TJE0QAEvn/
28,@johnlegend Presents: Sexiest Elf Alive,4:43,1.1m,"1,535",https://www.instagram.com/tv/B5MY-g_gq4W/
29,Whisper Challenge Gets Way Too Real w/ Will Ferrell,4:30,2.1m,"1,943",https://www.instagram.com/tv/B5LJSnFAZMG/
30,Wait for it… ? More with @dollyparton tonight!,1:14,1.6m,"7,102",https://www.instagram.com/tv/B5HFoxAAvqw/
31,The History of Disney Songs w/ @kristenanniebell,4:57,1m,"8,391",https://www.instagram.com/tv/B4ytbpSgY9A/
32,Jimmy Surprises an Air Force Veteran,3:33,794k,"1,498",https://www.instagram.com/tv/B4xS7Q_g-71/
