,title,vid_length,approx_views,approx_comments,vid_url
0,Amber Ruffin Celebrates Martin Luther King Jr. Day With a Song,2:57,22.3k,22,https://www.instagram.com/tv/B7lvBlpJqXX/
1,Trump Prepares for Impeachment Trial After Lev Parnas Bombshell,10:50,32.5k,24,https://www.instagram.com/tv/B7lhNvPpaXg/
2,Bombshell Evidence Emerges as House Sends Impeachment Articles to Senate,12:45,56.6k,50,https://www.instagram.com/tv/B7YjoxbJSNH/
3,Trump’s Team Can’t Defend His Shifting Iran Lies: A Closer Look,14:03,34.1k,25,https://www.instagram.com/tv/B7TfzRaJDcs/
4,What If Everyone Had Their Own Larry David?,8:06,79.2k,191,https://www.instagram.com/tv/B7Ji6tOJpwZ/
5,Congress Votes to Limit Trump's War Powers After Iran Lies: A Closer Look,12:09,56.9k,108,https://www.instagram.com/tv/B7JV5wOJpxX/
6,"Trump Lies About Iran Crisis, Blames Obama: A Closer Look",12:12,83.7k,132,https://www.instagram.com/tv/B7GkFvZpBas/
7,Trump Threatens War Crimes Against Iran: A Closer Look,13:29,92.4k,167,https://www.instagram.com/tv/B7BaPICpZMP/
8,Trump Melts Down at Rally After Getting Impeached: A Closer Look,9:24,172k,274,https://www.instagram.com/tv/B6TRpSsJnf-/
9,House Impeaches President Trump in Historic Vote: A Closer Look,15:15,81.7k,155,https://www.instagram.com/tv/B6QnXZsJ4o0/
10,Senate Republicans Won’t Hold a Fair Impeachment Trial: A Closer Look,10:42,60.3k,126,https://www.instagram.com/tv/B6LgVuVpBoL/
11,Trump Blasts “Impeachment Light” at Deranged Rally: A Closer Look,10:19,81.4k,109,https://www.instagram.com/tv/B5-fsdkll13/
12,House Democrats Unveil Articles of Impeachment Against Trump: A Closer Look,11:09,29.8k,26,https://www.instagram.com/tv/B58FYNspUMZ/
13,Halloween Frights with Amber Ruffin,1:37,15.2k,31,https://www.instagram.com/tv/B4QDnhZlMA2/
14,The Late NightCap: Week of 10/7/19,5:04,13.9k,7,https://www.instagram.com/tv/B3h2eeuFDXX/
15,David Harbour Hears 'SNL' Pitches From 'Late Night' Writer Mike Scollins,1:58,16k,4,https://www.instagram.com/tv/B3Zv22il89Z/
16,Kelly Clarkson Hears Mike Scollins' Talk Show Pitches,2:13,20.9k,8,https://www.instagram.com/tv/B2PiaMdl_-V/
17,Donald J. Trump Saves the Planet,2:11,175k,293,https://www.instagram.com/tv/B1JfVucgepZ/
18,Storm Reid Gets 'Euphoria' Pitches From Writer Mike Scollins,1:45,39.5k,10,https://www.instagram.com/tv/B062qaBgdEF/
19,Trump Threatens Iran on Twitter: A Closer Look,7:41,115k,114,https://www.instagram.com/tv/BxvF0zWlm99/
20,"Trump Fights with China, Rudy Seeks Ukraine’s Help in 2020: A Closer Look",12:13,84.1k,43,https://www.instagram.com/tv/Bxct03AFe9O/
21,Trump Lost Over $1 Billion in 10 Years: A Closer Look,10:07,77.6k,108,https://www.instagram.com/tv/BxQZvPVl3HW/
22,"Trump Says Mueller Shouldn't Testify, as Cohen Goes to Prison: A Closer Loo",9:43,59.1k,40,https://www.instagram.com/tv/BxKsa2LlCO1/
23,Barr Refuses to Testify After Lying About Mueller: A Closer Look,8:13,74.3k,85,https://www.instagram.com/tv/BxA0AQLglo0/
24,Mueller Complained About Barr’s Letter to Congress: A Closer Look,15:27,49.5k,35,https://www.instagram.com/tv/Bw9xxg0AfsY/
25,"Trump Calls Into Fox, Calls Russia Probe a “Coup”: A Closer Look",9:44,67.6k,90,https://www.instagram.com/tv/Bw5BsRtF5ZI/
26,Donald J. Trump And The Big Beautiful Wall,2:31,68.6k,162,https://www.instagram.com/tv/Bwuf5rAg5N6/
27,Democrats Take on Corporate Profits and CEO Pay: A Closer Look,13:15,78.6k,71,https://www.instagram.com/tv/BwaGGxiAcIK/
28,"Amber Says What: Beyoncé's Coachella Documentary, Lil Nas X's Old Town Road",6:35,101k,110,https://www.instagram.com/tv/BwXZnJJlVmt/
29,"Sarah Sanders Says Congress Is Not ""Smart Enough"" for Trump's Tax Returns",10:53,75.7k,168,https://www.instagram.com/tv/BwU7N_KlPOv/
30,"Trump Dodges Questions on Mueller, Tax Returns, WikiLeaks: A Closer Look",14:19,92.4k,97,https://www.instagram.com/tv/BwQQrE_At4f/
31,Trump Listens to Stephen Miller and Lou Dobbs on Immigration: A Closer Look,7:30,91.9k,92,https://www.instagram.com/tv/BwIK2JfHNaZ/
32,Trump Lashes Out over Immigration and His Tax Returns: A Closer Look,11:50,91.2k,91,https://www.instagram.com/tv/BwDOgr0HJOL/
33,Donald J. Trump's Guide To Republican Greatness,3:04,192k,422,https://www.instagram.com/tv/BpCnbxQHtf1/
34,ASMR Relaxation with Fred Armisen,4:14,76.5k,199,https://www.instagram.com/tv/BozGIzNHMyj/
35,"Nathaniel Rateliff & The Night Sweats' Story Behind ""Tearing at the Seams""",2:29,14.3k,23,https://www.instagram.com/tv/BofOq5znGYz/
36,A Closer Look: 9/17/2018,12:48,"8,238",4,https://www.instagram.com/tv/Bn32sdhBVBb/
