,title,vid_length,approx_views,approx_comments,vid_url
0,This year was filled with a lot of laughs. ? ? #BringTheFunny,4:58,"1,938",4,https://www.instagram.com/tv/B6vUgEPBmtS/
1,Thank you @chrissyteigen for blessing us with your laugh. ?,1:35,"3,275",6,https://www.instagram.com/tv/B5aWQ4IBHnk/
2,Don't look now.,5:28,13.1k,96,https://www.instagram.com/tv/B2iVdvUAqz9/
3,We sent our A-team to @nbcgameofgames.,3:42,"6,775",11,https://www.instagram.com/tv/B2iRp9tgD81/
4,Bring the Funny: Roast,3:33,"8,889",28,https://www.instagram.com/tv/B2hz609ABUY/
5,Every Time Chrissy Teigen Laughs,1:35,"7,560",17,https://www.instagram.com/tv/B2FdJYYpDH6/
6,Comedy Clash: Bring The Funny,2:57,10.1k,72,https://www.instagram.com/tv/B1aMe4iBWlO/
7,Comedy Clash: Bring The Funny,2:22,"9,389",50,https://www.instagram.com/tv/B1aK8VqBXwP/
8,Comedy Clash: Orlando Leyba v. Ali Siddiq,4:35,"6,473",24,https://www.instagram.com/tv/B1W5pyDHgBB/
9,Comedy Clash: Erica Rhodes,2:38,"8,742",25,https://www.instagram.com/tv/B1IN7MxH7Pl/
10,Comedy Clash: Michael Longfellow,2:15,"6,586",18,https://www.instagram.com/tv/B1IJmb2nUYd/
11,Bring the Funny: Comedy Clash,4:47,13.2k,26,https://www.instagram.com/tv/B1E1ucHndZ5/
12,Comedy Clash: Morgan Jay,2:51,"7,596",48,https://www.instagram.com/tv/B02MZ8JHoSn/
13,Comedy Clash: JK! Studios,2:20,"7,695",37,https://www.instagram.com/tv/B02MF6onPtf/
14,Comedy Clash: Randy Feltface v. Jarred Fell,4:43,"7,005",50,https://www.instagram.com/tv/B0y4ULOnIzt/
15,Bring The Funny: The Valleyfolk,3:28,10.5k,79,https://www.instagram.com/tv/B0kGEj3AO0D/
16,Bring The Funny: Tacarra Williams,2:08,"9,766",56,https://www.instagram.com/tv/B0kFCUtgJ9n/
17,Bring The Funny: Lewberger,2:13,12.1k,23,https://www.instagram.com/tv/B0gzx_snCaX/
18,Bring The Funny: @alisiddiq,2:04,"8,688",25,https://www.instagram.com/tv/B0SKG42hOn2/
19,Bring The Funny: @handsomenaked,1:31,"8,157",27,https://www.instagram.com/tv/B0SD5XkB7pq/
20,Bring The Funny: @ajonthemic,2:11,10.9k,78,https://www.instagram.com/tv/B0Ozjv0BcM_/
21,Bring The Funny: Randy Feltface,2:21,"9,721",53,https://www.instagram.com/tv/Bz8gMmdnRbw/
22,"? YOUR FIRST LOOK AT BRING THE FUNNY. ? Chrissy loved it, you will too.",2:09,11.5k,38,https://www.instagram.com/tv/BzQukbXHVv2/
