,title,vid_length,approx_views,approx_comments,vid_url
0,? Adam Driver Rewind ?,3:09,472k,603,https://www.instagram.com/tv/B7lw1mWlppS/
1,??????? ???? ??? ????: ????? ??????,4:46,395k,621,https://www.instagram.com/tv/B7WXBJIFp5z/
2,SNL Presents Kate McKinnon as Ellen DeGeneres,8:10,1.3m,"1,863",https://www.instagram.com/tv/B7J5VkvlsT1/
3,Fan Q&A with @beckbennett and @kylemooney ?,5:01,228k,117,https://www.instagram.com/tv/B7EWOKzlGI4/
4,Behind the Sketch: Grouch,3:43,539k,650,https://www.instagram.com/tv/B7BRdMyFjZb/
5,Some (laser) cats for you,13:30,609k,"1,041",https://www.instagram.com/tv/B61T5eFFvCj/
6,Celebrate Hanukkah ?,16:51,335k,294,https://www.instagram.com/tv/B6lj3z0Fc4n/
7,It’s the day after Christmas,12:56,786k,455,https://www.instagram.com/tv/B6i7fQNlmlO/
8,SNL Meets Santa Claus,3:45,703k,484,https://www.instagram.com/tv/B6gD62qFwDh/
9,(? ?????? ????) 12 Minutes of I Wish It Was Christmas Today,12:32,577k,"1,487",https://www.instagram.com/tv/B6dUClAluDW/
10,#CutForTime: Aidy Bizzo & Lizzo,3:41,866k,"2,397",https://www.instagram.com/tv/B6bvu9Sl1IO/
11,"He’s Gumby, dammit",3:35,748k,"1,189",https://www.instagram.com/tv/B6XPiCsFgcu/
12,Mister Robinson’s Neighborhood,4:06,770k,"1,802",https://www.instagram.com/tv/B6XN4bVFhSz/
13,It’s the Eddie Murphy Monologue,5:23,848k,"2,786",https://www.instagram.com/tv/B6XN1VXF9f7/
14,The Sixth Democratic Debate,9:38,388k,380,https://www.instagram.com/tv/B6XNLC8lHoD/
15,? ????? ?????? ?????? ?,4:03,478k,774,https://www.instagram.com/tv/B6LlEl9FsDV/
16,She saw Mommy kissing Santa Claus,2:31,812k,637,https://www.instagram.com/tv/B6FTIcYpdxs/
17,Scarlett Johansson’s Holiday Monologue,4:51,803k,529,https://www.instagram.com/tv/B6FLDJcJXNw/
18,Dinner in America,6:05,519k,555,https://www.instagram.com/tv/B6FJJnKJ98f/
19,It’s the most wonderful time of the year ?,1:02,405k,195,https://www.instagram.com/tv/B58Xr-lF57Y/
20,? Scarlett Johansson Rewind ?,3:12,1.2m,481,https://www.instagram.com/tv/B53sJ_RliF5/
21,PottyPM,2:00,764k,"1,214",https://www.instagram.com/tv/B5zQGs7Fjnf/
22,Chad Meets JLo,3:33,671k,"1,039",https://www.instagram.com/tv/B5zKEJDlGvZ/
23,Fast Times in the NATO Cafeteria,7:15,648k,"1,179",https://www.instagram.com/tv/B5zHWg9lIp5/
24,???????? ?????'? ???? ?? ???,1:50,213k,124,https://www.instagram.com/tv/B5x9ECZFq_H/
25,? @jlo isn’t stopping until this tree is lit ?,1:44,519k,402,https://www.instagram.com/tv/B5qYCJ8lxHD/
26,Let's take a walk down @jlo memory lane,1:35,654k,362,https://www.instagram.com/tv/B5ntgxaFuMu/
27,SNL Presents The Perfect Gift Collection ?,9:34,57.7k,65,https://www.instagram.com/tv/B5dlIFSlxHx/
28,SNL Goes to Thanksgiving Dinner,2:39,504k,429,https://www.instagram.com/tv/B5ZSZ89FocM/
29,SNL Presents ???????????? ?????,9:17,389k,533,https://www.instagram.com/tv/B5X00IiFSUK/
30,#CutForTime: Jeans Commercial,1:24,931k,"5,435",https://www.instagram.com/tv/B5Qz2tBlkDb/
31,Introducing Heinz Relax!,1:43,859k,"2,400",https://www.instagram.com/tv/B5PIRZkl_rc/
32,Democratic Debate,12:06,467k,681,https://www.instagram.com/tv/B5PHCciFHgG/
33,Will Ferrell’s Monologue,5:57,617k,739,https://www.instagram.com/tv/B5PEntMFxgU/
34,Will Ferrell Studio Tour,1:31,428k,326,https://www.instagram.com/tv/B5NrPGVFUP7/
35,Fan Q&A with @kenanthompson and @chrisreddis,5:33,174k,88,https://www.instagram.com/tv/B5LXf-wF-xj/
36,Will Ferrell is a National Treasure,1:13,425k,301,https://www.instagram.com/tv/B5GN_wMlVKL/
37,Presenting...??? ???? ?? ???? ???????,4:34,455k,"1,002",https://www.instagram.com/tv/B5DpaLGFAbz/
38,#CutForTime: Jason,3:45,715k,"1,274",https://www.instagram.com/tv/B5BNY3tlRrX/
39,A Message from Jeff Sessions,3:25,498k,407,https://www.instagram.com/tv/B49Ig1DlETJ/
40,Harry Styles Piano Monologue,4:32,649k,"1,613",https://www.instagram.com/tv/B49F6pXlG89/
41,This is Days of Our Impeachment ?,7:34,463k,460,https://www.instagram.com/tv/B49E8YYFgPb/
42,"Welcome back to Studio 8H, @harrystyles! ??",1:24,474k,"1,196",https://www.instagram.com/tv/B40M3KPFrfz/
43,? A little @harrystyles rewind ?,1:33,699k,947,https://www.instagram.com/tv/B4u8jywlChu/
44,Digital Exclusive: Ooli’s Fashion Vlog,1:45,318k,481,https://www.instagram.com/tv/B4iOzpil7Wr/
45,It’s Weekend Update!,3:59,575k,707,https://www.instagram.com/tv/B4Y-mFGlJQ-/
46,?????? ??? ????,3:09,556k,"1,277",https://www.instagram.com/tv/B4Y72RCFsNv/
47,Elizabeth Warren talks health insurance,7:30,463k,586,https://www.instagram.com/tv/B4Y46QWFr5D/
48,Kristen Stewart and Kate McKinnon Face Off,1:13,573k,956,https://www.instagram.com/tv/B4P7CfUl6qU/
49,Kristen Stewart returns this Saturday,1:41,438k,481,https://www.instagram.com/tv/B4N1d2dFb9W/
50,"Fan Q&A with @heidilgardner, @eggyboom, and @melissavcomedy",5:40,233k,153,https://www.instagram.com/tv/B4LJtBXl8NH/
51,Trump Brothers on Nepotism,3:17,477k,617,https://www.instagram.com/tv/B4G-cPyFnUE/
52,????? ??????? ?????!,2:03,724k,"1,321",https://www.instagram.com/tv/B4G87HwFDFw/
53,Live from Trump’s rally in Albuquerque??,8:51,373k,637,https://www.instagram.com/tv/B4G48_Rlm6G/
54,It’s a pumpkin carve-off! ?,1:25,319k,152,https://www.instagram.com/tv/B3-IepFl0ZG/
55,Let's take a look back at @chancetherapper,1:39,291k,362,https://www.instagram.com/tv/B37vA44Fjkm/
56,Fan Q&A with @fayedunaway and @chloeiscrazy,4:19,267k,142,https://www.instagram.com/tv/B3xDqV6lU7Y/
57,Grouch Edit in 27 Hours ?,2:25,215k,707,https://www.instagram.com/tv/B3uRyollGu3/
