,title,vid_length,approx_views,approx_comments,vid_url
0,2019 was nothing short of EPIC! ? #AmericanNinjaWarrior,4:58,20.5k,17,https://www.instagram.com/tv/B6vUfHIhCPO/
1,Vegas brought out the beasts on the course.,2:04,30.9k,48,https://www.instagram.com/tv/B2wS6iOlC0M/
2,Hours upon hours of training all came to fruition.,17:16,32.1k,120,https://www.instagram.com/tv/B2g2MOonAQs/
3,@reallifeninja has had an intense journey.,3:02,44.8k,93,https://www.instagram.com/tv/B2fxhx4napn/
4,These Ninjas gave it their ALL.,2:28,44.8k,93,https://www.instagram.com/tv/B2ftwekAEoI/
5,@reallifeninja demolished Stage 4. Meet your new CHAMPION.,2:54,44.8k,93,https://www.instagram.com/tv/B2fphz9A9wI/
6,The @kingdom_ninja proved his royalty this year. WOW.,5:03,44.8k,93,https://www.instagram.com/tv/B2fpWNngph2/
7,@reallifeninja is one step closer to a long-time victory.,4:59,44.8k,93,https://www.instagram.com/tv/B2fiNmVA9xH/
8,@michaeltorresanw is fighting to the finish. Will he win it all?,2:48,59.4k,161,https://www.instagram.com/tv/B2XT9k2AEPS/
9,The big dog* came out to play during Stage 2!,5:43,35.2k,55,https://www.instagram.com/tv/B2RnJwmHMDX/
10,Las Vegas was lit up with these epic runs! #AmericanNinjaWarrior,1:09,51.7k,72,https://www.instagram.com/tv/B2No96mAvfG/
11,@kingdom_ninja makes Stage 2 look easy. #AmericanNinjaWarrior,2:34,128k,169,https://www.instagram.com/tv/B2Nn_CogwH1/
12,@reallifeninja is doing whatever it takes to win it all.,3:01,56.3k,183,https://www.instagram.com/tv/B2Nm20dgfoO/
13,A leg injury isn't stopping @youngflip7's chance to win it all.,2:34,92.9k,158,https://www.instagram.com/tv/B2FTvfEg_QB/
14,This week had some EPIC runs! #AmericanNinjaWarrior,4:06,48.4k,44,https://www.instagram.com/tv/B2Ci2b7g0Vp/
15,Stage 1 was a walk in the park for @mathisthekid. #AmericanNinjaWarrior,1:58,346k,215,https://www.instagram.com/tv/B1_y5iCgcJF/
16,@ethanswanson FLEW threw stage 1! ?,2:11,271k,147,https://www.instagram.com/tv/B19w-iggP1_/
17,@jessiegraffpwr finally tackles the National Finals.,1:11,90.8k,83,https://www.instagram.com/tv/B1zLozIg-AA/
18,@islandninja got his shot and he's not taking it for granted.,3:01,62k,140,https://www.instagram.com/tv/B1y9ZK8ABpA/
19,@da_cake_ninja had one SWEET rookie season! #AmericanNinjaWarrior,3:07,52.3k,24,https://www.instagram.com/tv/B1tszgagmSz/
20,These Ninjas had their eyes on the PRIZE! #AmericanNinjaWarrior,1:19,75.9k,22,https://www.instagram.com/tv/B1plw0dgSE2/
21,@kingdom_ninja ruled Stage 1! ? #AmericanNinjaWarrior,2:09,957k,719,https://www.instagram.com/tv/B1pjxmZgpQw/
22,@SparklyNinja was on a MISSION tonight! WOW! #AmericanNinjaWarrior,2:40,224k,144,https://www.instagram.com/tv/B1pdwOtgh2c/
