,title,vid_length,approx_views,approx_comments,vid_url
0,Looks like @howiemandel had been SITTING on this for a while!,1:04,14.9k,36,https://www.instagram.com/tv/B7mCV_KHxgE/
1,That scared us half to death!,4:50,33.6k,85,https://www.instagram.com/tv/B7kMjAMHBJ6/
2,"Smooth, fresh, and talented totally describes @thequickstyle! #AGTChampions",3:01,42k,70,https://www.instagram.com/tv/B7kLUFwH32B/
3,WOW. @michaelgrimmmusic just brought us to our feet. ? #AGTChampions,5:27,83.9k,195,https://www.instagram.com/tv/B7kIriTnfTK/
4,Well that was definitely V AMAZING!,8:35,76.1k,332,https://www.instagram.com/tv/B7kHYuMHvUL/
5,@mosesconcas stayed true and followed his heart to the harmonica. ??,4:03,79.5k,125,https://www.instagram.com/tv/B7kGA1Gngyu/
6,@freckled_sky just mesmerized us with that performance! ? #AGTChampions,5:14,26.2k,45,https://www.instagram.com/tv/B7kE5JfHZ05/
7,@itsbenhart surely can tell a great story with his magic. ?#AGTChampions,4:25,35.7k,75,https://www.instagram.com/tv/B7kDgKinuTP/
8,@tylerbutlerfigueroaviolinist really SLAYED that performance! #AGTChampions,5:40,142k,269,https://www.instagram.com/tv/B7kCUCOlS4n/
9,Looks like #AGTChampions has gone to the dogs thanks to @alexalauenburger!,5:39,52k,102,https://www.instagram.com/tv/B7kBNvmgPT2/
10,@thequickstyle sure makes dancing look easy!,3:01,157k,192,https://www.instagram.com/tv/B7gkMjQnnnf/
11,@michaelgrimmmusic bares his heart and soul through his music. ??,5:27,191k,229,https://www.instagram.com/tv/B7banQ2n9ao/
12,Take a moment to enjoy these incredible talents.,3:33,53.6k,49,https://www.instagram.com/tv/B7ZROpFJWaL/
13,@mikidark_official and @freckled_sky's acts always leave us wanting more!,1:03,22.4k,11,https://www.instagram.com/tv/B7ZDhiCHnAc/
14,Get ready to raise the WOOF for @alexalauenburger and @itsbenhart's acts!,1:27,33.4k,12,https://www.instagram.com/tv/B7YhMT4nHTt/
15,@thequickstyle and @michaelgrimmmusic are two acts you DON'T want to miss!,1:43,20.4k,14,https://www.instagram.com/tv/B7WzU69F1nX/
16,"Do we stan @tylerbutlerfigueroaviolinist and @duo_destiny_? Yes, yes we do.",1:11,35.5k,32,https://www.instagram.com/tv/B7WeuocB5lr/
17,The good times are here with @v.unbeatable_official_india and @mosesconcas!,1:42,30.8k,69,https://www.instagram.com/tv/B7V8ZUGltOM/
18,Holding our breath for this one!,7:11,56.7k,94,https://www.instagram.com/tv/B7SK5J8nyg3/
19,"@thelukeislam is bringing the vocal range tonight, y'all! ? #AGTChampions",5:50,79.3k,126,https://www.instagram.com/tv/B7SJgXInnm3/
20,"Completely SPEECHLESS after that one, @iamspelmann. #AGTChampions",7:24,147k,484,https://www.instagram.com/tv/B7SIZyzH5p-/
21,An amazing voice from a silent clown!,3:59,125k,189,https://www.instagram.com/tv/B7SGx37HSqZ/
22,@cripplethreat8 is back and funnier than ever! ?#AGTChampions,4:55,24.7k,71,https://www.instagram.com/tv/B7SFfbqhP1b/
23,Who else was very nervous during @benblaque's performance! ? #AGTChampions,7:56,45.7k,104,https://www.instagram.com/tv/B7SD4gmnAk2/
24,The force is STRONG in @boogiestorm! ? #AGTChampions,6:03,83.4k,403,https://www.instagram.com/tv/B7SB7KCFVmP/
25,We're legit mindblown by @ozthementalist! ? #AGTChampions,6:19,29.7k,93,https://www.instagram.com/tv/B7SAnAyHfrO/
26,Two voices from one man?,6:53,216k,986,https://www.instagram.com/tv/B7R_Z1mD7_f/
27,"Alright, we’re ready to laugh! ?",3:23,87.5k,111,https://www.instagram.com/tv/B7ONO8-BJKG/
28,The talent on the #AGTChampions premiere left us speechless!,3:32,83.4k,46,https://www.instagram.com/tv/B7KoW0uBpOx/
29,We're freaking out!,6:17,42.9k,106,https://www.instagram.com/tv/B7JTRQuAkrY/
30,Unbelieveably thrilling acts!,2:27,19.2k,15,https://www.instagram.com/tv/B7HI19-A2ST/
31,Singing with emotion AND talent!,1:09,33.4k,50,https://www.instagram.com/tv/B7Gmg1BBBxo/
32,With @collabro and @boogiestorm a good time is guaranteed! #AGTChampions,1:40,29.4k,21,https://www.instagram.com/tv/B7E8FPbh0Hw/
33,Magic takes center stage!,2:03,27.7k,18,https://www.instagram.com/tv/B7ExyDlhjLu/
34,You’ll laugh and cry!,2:01,57.9k,74,https://www.instagram.com/tv/B7EZfkIh4XO/
35,Magic is FOR SURE in the air when @daniadiaz1 is on stage! ? #AGTChampions,4:23,196k,456,https://www.instagram.com/tv/B7AJX6kI5R8/
36,Raise your hands if you were NOT expecting that! ???? #AGTChampions,3:56,78.7k,104,https://www.instagram.com/tv/B7AICNxHwBy/
37,@dannaturman sure had a KNOCKOUT with his punchlines! ? #AGTChampions,2:21,40.1k,72,https://www.instagram.com/tv/B7AFk5znvG8/
38,Who's palms were sweating during @duotranscend's performance? #AGTChampions,5:24,105k,374,https://www.instagram.com/tv/B7AEQKen74_/
39,@jack.vidgen is back and ready to sing his heart out! ? #AGTChampions,3:00,54.2k,125,https://www.instagram.com/tv/B7AC3mjn-l8/
40,"With a voice like that, @mikeyung can bring the house down! #AGTChampions",5:21,45.5k,55,https://www.instagram.com/tv/B6__76Lnqop/
41,Age is nothing but a number to @paddy_nicko! #AGTChampions,2:21,114k,169,https://www.instagram.com/tv/B6_-I_PlP78/
42,Get ready for your jaws to drop when @paddy_nicko take the stage! ??,2:21,243k,411,https://www.instagram.com/tv/B68MhLuH456/
43,We GUARANTEE you won't want to miss @mikeyung and @juniorcreative.myanmar!,1:27,32.9k,35,https://www.instagram.com/tv/B66DHbvB-F3/
44,Get ready for new tricks and bigger heights when @duotranscend returns!,5:24,214k,529,https://www.instagram.com/tv/B63C3JvBD4J/
45,Can you feel the magic in the air? ?,1:31,38.7k,43,https://www.instagram.com/tv/B6ylpGbBRE4/
46,Keep your goals in mind and be a champion this year!,5:31,44.4k,43,https://www.instagram.com/tv/B6yKk7MBwbv/
47,What an incredible year it's been! ?,4:58,47.4k,26,https://www.instagram.com/tv/B6vUjO_BkGN/
48,"When we say MIND BLOWN by @paddy_nicko and @eddiejowilliams, we mean it!",1:21,31.2k,27,https://www.instagram.com/tv/B6qflIZh1jT/
49,"@angelinajordana and @jack.vidgen prove that when you grow up, you glow up!",1:18,49.8k,49,https://www.instagram.com/tv/B6n6oR9BNgw/
50,GIve a BIG #AGT welcome to @aleshaofficial! ?,2:27,53.4k,121,https://www.instagram.com/tv/B6jBcfvh-9-/
51,It's always a fun time when @accordionhans and @dannaturman are here! ?,2:00,28.5k,25,https://www.instagram.com/tv/B6iwDn0ndxh/
52,He fought through the pain and now he’s back to compete among the best!,3:01,262k,317,https://www.instagram.com/tv/B6WEdn4hwCj/
53,@accordionhans is bringing his charm back to America.,3:27,247k,273,https://www.instagram.com/tv/B6OD3S8poNF/
54,"The stakes are high, but can @duotranscend go higher?",3:38,304k,404,https://www.instagram.com/tv/B6J4F17FKI1/
55,We've got a healthy dose of bingeworthy #AGT performances for you. ?,16:04,163k,93,https://www.instagram.com/tv/B5NeQpxBd0M/
56,Here are your Season 2 Champions!,2:03,69.2k,519,https://www.instagram.com/tv/B5Dt7P7l9nS/
57,Fridays are for funny. ? #AGT,18:35,25.4k,37,https://www.instagram.com/tv/B4435och3bv/
58,We stan these magic moments! ? #AGT,19:19,68.5k,43,https://www.instagram.com/tv/B4xJm3nBKvs/
59,These auditions blew our minds! ?,25:57,217k,173,https://www.instagram.com/tv/B4m2Xy4BFtz/
60,Who could've seen these moments coming?,17:33,79.7k,66,https://www.instagram.com/tv/B4VXJDvpAEA/
61,"Pianos, puppets, and WHAT?",16:12,54.3k,64,https://www.instagram.com/tv/B4IfKkzpYqq/
62,We have some information to @cher with you.,3:05,50.6k,73,https://www.instagram.com/tv/B4BI1vjBjmS/
63,"We laughed, we cried, we lit stuff on fire!",19:15,36.8k,35,https://www.instagram.com/tv/B3-L_HLp2RX/
64,We miss you too. ??,27:03,69.3k,55,https://www.instagram.com/tv/B3xUAt2ptEB/
65,We had to watch this through our fingers! ?,14:41,42.2k,43,https://www.instagram.com/tv/B3ploPKJwCp/
66,We like to keep it interesting here.,16:35,194k,139,https://www.instagram.com/tv/B3h3SBwJ8RJ/
67,This season had us reaching for the tissues.,21:30,78.9k,86,https://www.instagram.com/tv/B3XkAiclIzz/
68,Let's hear it for the talented ladies of #AGT!,24:36,265k,84,https://www.instagram.com/tv/B3NQ1BOnvPE/
69,You can't fake fabulous!,11:12,43.2k,29,https://www.instagram.com/tv/B3M8OtiBjQe/
70,One man. Many faces. ???,10:58,194k,238,https://www.instagram.com/tv/B3KXb79jiGz/
71,Who could forget these mind-bending performances?,15:52,79k,66,https://www.instagram.com/tv/B3Hyo7NAXut/
72,You deserve a break!,21:17,49.6k,87,https://www.instagram.com/tv/B3FicZjnkTh/
73,America fell in love with her and her message.,7:54,77.1k,74,https://www.instagram.com/tv/B3FN2DAJM6z/
74,Looking back at @beniciobryant's #AGT journey. ?,8:53,65.4k,257,https://www.instagram.com/tv/B3CpDMYJG-A/
