,Address,Neighbourhood,Price,Beds,Baths,Sqft,BuiltIn,Url,PullDate,City,SqftDollar,Preference
0,"12121 101a Avenue, Surrey, BC",Cedar Hills,1500000.0,7 bed,8 bath,5251 sqft,2013,https://www.zolo.ca/surrey-real-estate/12121-101a-avenue,2020-04-04,Surrey,285.6598743096553,0
1,"10032 174a Street, Surrey, BC",Fraser Heights,1599888.0,11 bed,10 bath,5590 sqft,2020,https://www.zolo.ca/surrey-real-estate/10032-174a-street,2020-04-04,Surrey,286.205366726297,0
2,"12129 100 Avenue, Surrey, BC",Cedar Hills,1249000.0,4 bed,3 bath,4357 sqft,9999,https://www.zolo.ca/surrey-real-estate/12129-100-avenue,2020-04-04,Surrey,286.66513656185447,0
3,"10229 145 Street, Surrey, BC",Guildford,1951000.0,10 bed,8 bath,6719 sqft,2019,https://www.zolo.ca/surrey-real-estate/10229-145-street,2020-04-04,Surrey,290.37059086173537,0
4,"12376 103a Avenue, Surrey, BC",Cedar Hills,1699000.0,7 bed,6 bath,5834 sqft,2019,https://www.zolo.ca/surrey-real-estate/12376-103a-avenue,2020-04-04,Surrey,291.22386013027085,0
5,"11679 96 Avenue, Surrey, BC",Royal Heights,1789000.0,9 bed,8 bath,6042 sqft,2017,https://www.zolo.ca/surrey-real-estate/11679-96-avenue,2020-04-04,Surrey,296.0940086064217,0
6,"10024 174a Street, Surrey, BC",Fraser Heights,1568000.0,9 bed,7 bath,5294 sqft,2019,https://www.zolo.ca/surrey-real-estate/10024-174a-street,2020-04-04,Surrey,296.18435965243674,0
7,"17375 100 Avenue, Surrey, BC",Fraser Heights,1688888.0,8 bed,9 bath,5649 sqft,2019,https://www.zolo.ca/surrey-real-estate/17375-100-avenue,2020-04-04,Surrey,298.9711453354576,0
8,"17716 102 Avenue, Surrey, BC",Fraser Heights,1348800.0,7 bed,6 bath,4454 sqft,2011,https://www.zolo.ca/surrey-real-estate/17716-102-avenue,2020-04-04,Surrey,302.82891782667264,0
9,"10050 172 Street, Surrey, BC",Fraser Heights,1649000.0,9 bed,8 bath,5355 sqft,2020,https://www.zolo.ca/surrey-real-estate/10050-172-street,2020-04-04,Surrey,307.93650793650795,0
